theta66 -127.59627114721198[degrees]
a67 403.2653599769198[nm]
b67 234.12837927030523[nm]
c67 430.8458952964778[nm]
x67 7621.630441116486[nm]
y67 6641.023250393334[nm]
z67 488.548530735382[nm]
theta67 -33.578813725000714[degrees]
a68 250[nm]
b68 250[nm]
c68 250.0[nm]
x68 11278.415215362978[nm]
y68 6611.589153335852[nm]
z68 538.6778483988802[nm]
theta68 0[degrees]
a69 250[nm]
b69 250[nm]
c69 250.0[nm]
x69 11538.775227781663[nm]
y69 7533.491502104673[nm]
z69 727.5187931579017[nm]
theta69 0[degrees]
a70 250[nm]
b70 250[nm]
c70 250.0[nm]
x70 10973.071703912598[nm]
y70 7271.894496847302[nm]
z70 428.8325951063123[nm]
theta70 0[degrees]
a71 219.0254463420393[nm]
b71 75.76119557740157[nm]
c71 250[nm]
x71 12147.34953316505[nm]
y71 6975.487363523007[nm]
z71 592.4347773029837[nm]
theta71 -131.4677054161091[degrees]
a72 402.38481286851436[nm]
b72 241.6341768574196[nm]
c72 435.3242291712879[nm]
x72 7650.472045849088[nm]
y72 7302.335259565765[nm]
z72 500.20384128442777[nm]
theta72 -120.34324888423957[degrees]
a73 250[nm]
b73 250[nm]
c73 250.0[nm]
x73 14099.474544363766[nm]
y73 7291.167587248393[nm]
z73 607.8461769169459[nm]
theta73 0[degrees]
a74 250[nm]
b74 250[nm]
c74 250.0[nm]
x74 14412.451643600405[nm]
y74 7836.969113965949[nm]
z74 408.91698301362305[nm]
theta74 0[degrees]
a75 331.38036749844645[nm]
b75 273.13420859259304[nm]
c75 302.2572880455198[nm]
x75 14904.653351458748[nm]
y75 7339.788769214682[nm]
z75 641.6023883200071[nm]
theta75 -57.225122675735754[degrees]
a76 311.0394310210586[nm]
b76 222.06394210364667[nm]
c76 266.55168656235264[nm]
x76 6945.260546966879[nm]
y76 7651.463638890671[nm]
z76 388.0111041139801[nm]
theta76 -60.60394714505674[degrees]
a77 250[nm]
b77 250[nm]
c77 250.0[nm]
x77 4692.676493071631[nm]
y77 7644.3318726515145[nm]
z77 702.1614630970852[nm]
theta77 0[degrees]
a78 250[nm]
b78 250[nm]
c78 250.0[nm]
x78 4317.103973987661[nm]
y78 8035.171567308003[nm]
z78 564.8988537260186[nm]
theta78 0[degrees]
a79 250[nm]
b79 250[nm]
c79 250.0[nm]
x79 3941.5314549036916[nm]
y79 8426.011261964491[nm]
z79 718.2309012005625[nm]
theta79 0[degrees]
a80 250[nm]
b80 250[nm]
c80 250.0[nm]
x80 3565.9589358197222[nm]
y80 8816.85095662098[nm]
z80 405.9208564352838[nm]
theta80 0[degrees]
a81 250[nm]
b81 250[nm]
c81 250.0[nm]
x81 3190.3864167357524[nm]
y81 9207.69065127747[nm]
z81 683.0431505056871[nm]
theta81 0[degrees]
a82 506.8725282758482[nm]
b82 387.0236535819349[nm]
c82 446.9480909288916[nm]
x82 12569.404152350904[nm]
y82 7971.136749508697[nm]
z82 501.17937717011864[nm]
theta82 -52.95752522691714[degrees]
a83 244.37356776519516[nm]
b83 197.7963649415757[nm]
c83 330.484752937978[nm]
x83 9911.725996005141[nm]
y83 7911.818899710451[nm]
z83 637.0167772475093[nm]
theta83 -169.15969454566942[degrees]
a84 771.2662955289577[nm]
b84 211.13460589220352[nm]
c84 491.20045071058064[nm]
x84 7945.909736689069[nm]
y84 8333.213100031653[nm]
z84 500.5544435267837[nm]
theta84 -40.78582147726596[degrees]
a85 232.27758432613595[nm]
b85 167.60101025340853[nm]
c85 242.00785592840617[nm]
x85 6145.953305655998[nm]
y85 8025.824739966967[nm]
z85 480.541163318916[nm]
theta85 -41.69813432556499[degrees]
a86 464.6623262575087[nm]
b86 292.20293199119396[nm]
c86 378.43262912435137[nm]
x86 11674.529028643463[nm]
y86 8088.465578822047[nm]
z86 502.14261538537784[nm]
theta86 -24.24920441040138[degrees]
a87 238.75824444195925[nm]
b87 193.28048359587174[nm]
c87 261.47127570158705[nm]
x87 6251.722777790668[nm]
y87 8399.638042646002[nm]
z87 369.7271346390221[nm]
theta87 -56.309932474020215[degrees]
a88 190.58567858677588[nm]
b88 190.58567858677588[nm]
c88 250.0[nm]
x88 9960.867149861959[nm]
y88 8332.876766835827[nm]
z88 687.4853992035653[nm]
theta88 0[degrees]
a89 250[nm]
b89 250[nm]
c89 250.0[nm]
x89 10359.72211169402[nm]
y89 8703.105774469414[nm]
z89 481.12869351400536[nm]
theta89 0[degrees]
a90 250[nm]
b90 250[nm]
c90 250.0[nm]
x90 10758.57707352608[nm]
y90 9073.334782103[nm]
z90 661.5785036136864[nm]
theta90 0[degrees]
a91 250[nm]
b91 250[nm]
c91 250.0[nm]
x91 11157.43203535814[nm]
y91 9443.563789736589[nm]
z91 570.9537919096439[nm]
theta91 0[degrees]
a92 482.4433520143094[nm]
b92 408.41478166092935[nm]
c92 445.4290668376194[nm]
x92 8912.094878364458[nm]
y92 8854.816556168944[nm]
z92 522.0363914152545[nm]
theta92 -36.96055544916336[degrees]
a93 194.61906540430476[nm]
b93 154.04913031000433[nm]
c93 250[nm]
x93 4775.8390888161875[nm]
y93 8816.454622561492[nm]
z93 677.4533013446375[nm]
theta93 -48.179830119864235[degrees]
a94 259.65421910984657[nm]
b94 189.5375422585517[nm]
c94 224.59588068419913[nm]
x94 6755.9714356069935[nm]
y94 8841.66461462694[nm]
z94 616.7702780988126[nm]
theta94 -155.6954507340633[degrees]
a95 444.2262768276802[nm]
b95 284.8566130846609[nm]
c95 364.54144495617055[nm]
x95 6140.788701053868[nm]
y95 9474.549556510185[nm]
z95 412.7257936513309[nm]
theta95 -72.49913873104715[degrees]
a96 545.2808064272331[nm]
b96 396.81809430145324[nm]
c96 471.04945036434316[nm]
x96 13057.634784273374[nm]
y96 9546.770681279764[nm]
z96 473.3576461300745[nm]
theta96 -43.86557836902299[degrees]
a97 250[nm]
b97 250[nm]
c97 250.0[nm]
x97 1171.8142103806167[nm]
y97 9804.708031240023[nm]
z97 471.8591510247105[nm]
theta97 0[degrees]
a98 250[nm]
b98 250[nm]
c98 250.0[nm]
x98 1990.9161087740151[nm]
y98 9474.774426496882[nm]
z98 647.5269065692858[nm]
theta98 0[degrees]
a99 250[nm]
b99 250[nm]
c99 250.0[nm]
x99 1662.272225647792[nm]
y99 10073.792000705671[nm]
z99 388.5305744091486[nm]
theta99 0[degrees]
a100 250[nm]
b100 250[nm]
c100 250.0[nm]
x100 2481.3741240411905[nm]
y100 9743.858395962532[nm]
z100 607.8343378351176[nm]
theta100 0[degrees]
a101 250[nm]
b101 250[nm]
c101 250.0[nm]
x101 2152.7302409149675[nm]
y101 10342.87597017132[nm]
z101 718.8632893438606[nm]
theta101 0[degrees]
a102 250[nm]
b102 250[nm]
c102 250.0[nm]
x102 2971.832139308366[nm]
y102 10012.94236542818[nm]
z102 412.0735418292991[nm]
theta102 0[degrees]
a103 250[nm]
b103 250[nm]
c103 250.0[nm]
x103 2643.188256182143[nm]
y103 10611.959939636969[nm]
z103 620.0712749793539[nm]
theta103 0[degrees]
a104 210.78933238906987[nm]
b104 188.53571046150333[nm]
c104 250[nm]
x104 11887.80066253781[nm]
y104 9415.72807143886[nm]
z104 516.7798936010622[nm]
theta104 -58.324531261890776[degrees]
a105 474.26639899264325[nm]
b105 369.4609172619866[nm]
c105 421.8636581273149[nm]
x105 4293.078308602797[nm]
y105 9832.761529004776[nm]
z105 564.5061285318152[nm]
theta105 -33.17851165939275[degrees]
a106 422.0276488600096[nm]
