y61 6858.9113382815685[nm]
z61 1279.770386139094[nm]
theta61 -68.32141086038565[degrees]
a62 274.5891418029144[nm]
b62 207.5254895441121[nm]
c62 280.28018607417994[nm]
x62 4229.768030964633[nm]
y62 7020.6681841935115[nm]
z62 1304.5093363523333[nm]
theta62 -11.379213914876669[degrees]
a63 130.05028957247626[nm]
b63 56.78208369696617[nm]
c63 381.5003065068669[nm]
x63 3973.9777447378774[nm]
y63 7615.116643442431[nm]
z63 1590.7294567850204[nm]
theta63 -52.832795566234644[degrees]
a64 164.81445424357858[nm]
b64 151.6259245011946[nm]
c64 250[nm]
x64 6814.86396231721[nm]
y64 7585.401434195725[nm]
z64 1438.2291502781534[nm]
theta64 -60.67952412241925[degrees]
a65 267.05714302192945[nm]
b65 169.33711155595725[nm]
c65 218.19712728894336[nm]
x65 2663.9107611548557[nm]
y65 7640.944881889764[nm]
z65 1686.4262775670968[nm]
theta65 -161.96571443287013[degrees]
a66 586.6845700393204[nm]
b66 385.7222887360514[nm]
c66 491.1145751390767[nm]
x66 1011.0425525358969[nm]
y66 468.29358476613055[nm]
z66 2471.873604023901[nm]
theta66 -135.9495668564358[degrees]
a67 528.391658903604[nm]
b67 86.1471947496685[nm]
c67 307.2694268266363[nm]
x67 1712.6664510216185[nm]
y67 108.84683810448003[nm]
z67 2345.0284557114605[nm]
theta67 -173.96471760338775[degrees]
a68 770.9584483046708[nm]
b68 183.35320692882271[nm]
c68 477.15582761674676[nm]
x68 6717.96395325807[nm]
y68 556.563534504711[nm]
z68 2480.9148565015707[nm]
theta68 -45.36493633573065[degrees]
a69 395.0270649337566[nm]
b69 116.24888453231222[nm]
c69 255.6379747330344[nm]
x69 768.551508753409[nm]
y69 1403.3056215360255[nm]
z69 2303.3970036178584[nm]
theta69 -35.45961819515736[degrees]
a70 247.59863493001006[nm]
b70 200.4287456897474[nm]
c70 250[nm]
x70 6079.338954338955[nm]
y70 1488.6039886039887[nm]
z70 2260.759028884824[nm]
theta70 -76.48343189120868[degrees]
a71 489.2973181709389[nm]
b71 432.9446361327326[nm]
c71 461.12097715183575[nm]
x71 7798.030752392049[nm]
y71 2633.6766938530523[nm]
z71 2456.88000603666[nm]
theta71 -159.5074052301297[degrees]
a72 335.64814814814815[nm]
b72 253.24751158935456[nm]
c72 294.44782986875134[nm]
x72 5808.293650793651[nm]
y72 3909.3518518518517[nm]
z72 2620.2068587535755[nm]
theta72 -53.13010235415598[degrees]
a73 416.38364873698885[nm]
b73 295.08214777736026[nm]
c73 355.73289825717455[nm]
x73 7538.177083333333[nm]
y73 4035.2199074074074[nm]
z73 2548.4919271419985[nm]
theta73 -41.84515713520803[degrees]
a74 574.7317394745104[nm]
b74 295.7894971289498[nm]
c74 435.2606183017301[nm]
x74 6043.65389627313[nm]
y74 5444.270697593606[nm]
z74 2471.0196471865543[nm]
theta74 -107.34025823106899[degrees]
a75 343.50635148663525[nm]
b75 310.60812790731194[nm]
c75 327.0572396969736[nm]
x75 1391.6494954298091[nm]
y75 5579.740582237016[nm]
z75 2355.816268581798[nm]
theta75 -50.19442890773481[degrees]
a76 498.8466206763553[nm]
b76 348.6160296736291[nm]
c76 423.7313251749922[nm]
x76 5005.237657512735[nm]
y76 6086.220268872802[nm]
z76 2438.490354059816[nm]
theta76 -33.83754668421933[degrees]
a77 242.87912467807845[nm]
b77 98.97017743718494[nm]
c77 250[nm]
x77 9371.631944444445[nm]
y77 6247.951388888889[nm]
z77 2591.759028884824[nm]
theta77 -79.01134890350603[degrees]
a78 324.1071411701322[nm]
b78 281.55228763438174[nm]
c78 302.82971440225697[nm]
x78 8325.857390623252[nm]
y78 8150.0853194584315[nm]
z78 2609.5887432870813[nm]
theta78 -45.57872556560776[degrees]
a79 278.2884965487892[nm]
b79 264.21357543296807[nm]
c79 271.2510359908787[nm]
x79 1129.0972222222222[nm]
y79 8173.132716049384[nm]
z79 2455.010064875703[nm]
theta79 -78.97046877601952[degrees]
a80 423.76919737926005[nm]
b80 276.6373193319873[nm]
c80 350.2032583556237[nm]
x80 4200.211575211575[nm]
y80 8654.722904722905[nm]
z80 2549.962287240448[nm]
theta80 -114.18493403363269[degrees]
a81 805.1596781625494[nm]
b81 129.95989673720555[nm]
c81 467.5597874498775[nm]
x81 3331.270128824477[nm]
y81 9251.50630703167[nm]
z81 2475.3188163347018[nm]
theta81 -176.0434804154554[degrees]
*****************
total_particles 81
total_volume_ellipsoids 10493408284.514584[nm^3]
x_length_prism 9240.98662530287[nm]
y_length_prism 10476.210805993345[nm]
z_length_prism 2963.9881791629778[nm]
x_position_prism -305.1280580040955[nm]
y_position_prism -419.544820799124[nm]
volume_fraction 0.0365693745979124
